Timestamp,Date,Day,Net Asset Value,Net Asset Value Change in ₹,Net Asset Value Change in %
04/01/2022 23:52:36,01/01/2022,Saturday,81.24,0,0
04/01/2022 23:54:52,02/01/2022,Sunday,81.24,0,0
04/01/2022 23:56:54,03/01/2022,Monday,82.429,1.19,1.46
05/01/2022 12:59:58,04/01/2022,Tuesday,83.287,0.86,1.04
06/01/2022 13:00:23,05/01/2022,Wednesday,83.8475,0.56,0.67
07/01/2022 07:39:25,06/01/2022,Thursday,83.5037,-0.34,-0.41
08/01/2022 08:40:48,07/01/2022,Friday,83.8626,0.36,0.43
09/01/2022 10:53:25,08/01/2022,Saturday,83.8626,0,0
11/01/2022 00:17:26,09/01/2022,Sunday,83.8626,0,0
11/01/2022 10:25:12,10/01/2022,Monday,83.7001,-0.16,-0.19
12/01/2022 12:43:54,11/01/2022,Tuesday,83.932,0.23,0.28
13/01/2022 16:03:10,12/01/2022,Wednesday,83.6159,-0.32,-0.38
14/01/2022 08:28:30,13/01/2022,Thursday,83.4606,-0.16,-0.19
15/01/2022 12:54:33,14/01/2022,Friday,83.7325,0.27,0.33
16/01/2022 08:21:50,15/01/2022,Saturday,83.7325,0,0
17/01/2022 08:40:33,16/01/2022,Sunday,83.7325,0,0
18/01/2022 08:32:02,17/01/2022,Monday,84.1011,0.37,0.44
19/01/2022 07:37:12,18/01/2022,Tuesday,83.0109,-1.09,-1.3
20/01/2022 16:43:58,19/01/2022,Wednesday,81.8537,-1.16,-1.39
21/01/2022 17:21:48,20/01/2022,Thursday,81.238,-0.62,-0.75
22/01/2022 09:03:50,21/01/2022,Friday,79.7572,-1.48,-1.82
23/01/2022 14:33:44,22/01/2022,Saturday,79.7572,0,0
24/01/2022 08:43:04,23/01/2022,Sunday,79.7572,0,0
25/01/2022 08:38:55,24/01/2022,Monday,76.7805,-3.08,-3.86
26/01/2022 08:40:39,25/01/2022,Tuesday,76.7127,0.03,0.04
27/01/2022 08:24:45,26/01/2022,Wednesday,76.7127,0,0
28/01/2022 08:44:14,27/01/2022,Thursday,75.3274,-1.39,-1.81
29/01/2022 08:02:08,28/01/2022,Friday,75.6428,0.32,0.42
30/01/2022 08:16:24,29/01/2022,Saturday,75.6428,0,0
31/01/2022 08:07:23,30/01/2022,Sunday,75.6428,0,0
01/02/2022 07:30:54,31/01/2022,Monday,76.8741,1.23,1.63
02/02/2022 08:08:58,01/02/2022,Tuesday,77.887,1.01,0.32
03/02/2022 08:09:40,02/02/2022,Wednesday,79.1057,1.22,1.56
04/02/2022 08:06:38,03/02/2022,Thursday,78.1087,-1,-1.26
05/02/2022 17:59:30,04/02/2022,Friday,78.1271,0.02,0.02
06/02/2022 21:07:24,05/02/2022,Saturday,78.1271,0,0
07/02/2022 08:19:14,06/02/2022,Sunday,78.1271,0,0
08/02/2022 08:11:56,07/02/2022,Monday,76.5225,-1.6,-2.05
10/02/2022 07:39:25,08/02/2022,Tuesday,76.278,-0.25,-0.32
10/02/2022 07:40:50,09/02/2022,Wednesday,77.128,0.85,1.12
11/02/2022 07:53:44,10/02/2022,Thursday,77.5656,0.44,0.57
17/02/2022 19:08:22,11/02/2022,Friday,76.053,-1.51,-1.95
17/02/2022 19:13:29,12/02/2022,Saturday,76.053,0,0
17/02/2022 19:13:59,13/02/2022,Sunday,76.053,0,0
17/02/2022 19:18:58,14/02/2022,Monday,74.131,-1.92,-2.53
17/02/2022 19:22:06,15/02/2022,Tuesday,76.055,1.92,2.59
17/02/2022 19:24:15,16/02/2022,Wednesday,75.8994,-0.16,-0.21
18/02/2022 14:27:43,17/02/2022,Thursday,75.8591,-0.04,-0.05
19/02/2022 07:58:24,18/02/2022,Friday,75.2152,-0.64,-0.85
19/02/2022 17:15:16,19/02/2022,Saturday,75.2152,0,0
19/02/2022 17:15:50,20/02/2022,Sunday,75.2152,0,0
22/02/2022 08:08:18,21/02/2022,Monday,74.9357,-0.28,-0.37
23/02/2022 08:41:45,22/02/2022,Tuesday,74.6777,-0.26,-0.34
24/02/2022 08:00:35,23/02/2022,Wednesday,74.8289,0.15,0.2
25/02/2022 08:16:14,24/02/2022,Thursday,71.3778,-3.45,-4.61
26/02/2022 10:56:43,25/02/2022,Friday,73.9328,2.56,3.58
27/02/2022 16:47:05,26/02/2022,Saturday,73.9328,0,0
27/02/2022 16:47:29,27/02/2022,Sunday,73.9328,0,0
01/03/2022 13:34:38,28/02/2022,Monday,74.4883,0.56,0.75
01/03/2022 21:04:50,01/03/2022,Tuesday,74.4883,0,0
03/03/2022 19:18:28,02/03/2022,Wednesday,73.8204,-0.67,-0.9
04/03/2022 07:33:48,03/03/2022,Thursday,73.3142,-0.51,-0.69
05/03/2022 08:15:17,04/03/2022,Friday,71.6986,-1.62,-2.2
06/03/2022 18:41:45,05/03/2022,Saturday,71.6986,0,0
06/03/2022 18:42:12,06/03/2022,Sunday,71.6986,0,0
08/03/2022 17:06:14,07/03/2022,Monday,69.7358,-1.96,-2.74
09/03/2022 18:34:22,08/03/2022,Tuesday,70.6214,0.89,1.27
10/03/2022 12:40:00,09/03/2022,Wednesday,71.7508,1.13,1.6
11/03/2022 11:29:05,10/03/2022,Thursday,73.0061,1.26,1.75
12/03/2022 09:54:41,11/03/2022,Friday,73.1308,0.12,0.17
13/03/2022 18:43:54,12/03/2022,Saturday,73.1308,0,0
13/03/2022 18:44:29,13/03/2022,Sunday,73.1308,0,0
15/03/2022 19:04:37,14/03/2022,Monday,73.5318,0.4,0.55
16/03/2022 19:02:29,15/03/2022,Tuesday,73.1899,-0.34,-0.46
17/03/2022 18:04:35,16/03/2022,Wednesday,74.358,1.17,1.6
18/03/2022 09:13:28,17/03/2022,Thursday,75.7167,1.36,1.83
19/03/2022 09:04:08,18/03/2022,Friday,75.7167,0,0
20/03/2022 09:13:55,19/03/2022,Saturday,75.7167,0,0
21/03/2022 14:19:05,20/03/2022,Sunday,75.7167,0,0
22/03/2022 14:54:01,21/03/2022,Monday,74.8165,-0.9,-1.19
23/03/2022 13:43:25,22/03/2022,Tuesday,75.2075,0.39,0.52
24/03/2022 13:41:59,23/03/2022,Wednesday,75.0377,-0.17,-0.23
25/03/2022 15:34:50,24/03/2022,Thursday,74.6781,-0.36,-0.48
26/03/2022 09:08:27,25/03/2022,Friday,74.332,-0.35,-0.46
27/03/2022 09:23:34,26/03/2022,Saturday,74.332,0,0
28/03/2022 09:53:55,27/03/2022,Sunday,74.332,0,0
29/03/2022 16:01:25,28/03/2022,Monday,74.1641,-0.17,-0.23
30/03/2022 11:13:02,29/03/2022,Tuesday,74.6649,0.5,0.68
31/03/2022 08:23:54,30/03/2022,Wednesday,75.6682,1,1.34
01/04/2022 08:13:26,31/03/2022,Thursday,75.5061,-0.16,-0.21
02/04/2022 09:34:27,01/04/2022,Friday,76.3631,0.86,1.14
03/04/2022 08:31:23,02/04/2022,Saturday,76.3631,0,0
04/04/2022 16:58:14,03/04/2022,Sunday,76.3631,0,0
05/04/2022 13:33:38,04/04/2022,Monday,77.7401,1.38,1.8
06/04/2022 16:00:05,05/04/2022,Tuesday,77.8618,0.12,0.16
07/04/2022 18:49:17,06/04/2022,Wednesday,77.2841,-0.58,-0.74
08/04/2022 08:23:03,07/04/2022,Thursday,76.7796,-0.5,-0.65
09/04/2022 14:30:10,08/04/2022,Friday,77.5007,0.72,0.94
09/04/2022 14:30:44,09/04/2022,Saturday,77.5007,0,0
09/04/2022 14:31:03,10/04/2022,Sunday,77.5007,0,0
12/04/2022 16:20:31,11/04/2022,Monday,77.4023,-0.1,-0.13
14/04/2022 00:02:16,12/04/2022,Tuesday,76.6442,-0.76,-0.98
14/04/2022 11:26:22,13/04/2022,Wednesday,76.3584,-0.29,-0.37
17/04/2022 16:32:51,14/04/2022,Thursday,76.3584,0,0
17/04/2022 16:33:31,15/04/2022,Friday,76.3584,0,0
17/04/2022 16:33:53,16/04/2022,Saturday,76.3584,0,0
17/04/2022 16:34:39,17/04/2022,Sunday,76.3584,0,0
20/04/2022 08:16:03,18/04/2022,Monday,75.3982,-0.96,-1.26
