Timestamp,Date,Day,Current Value,Changes in ₹,Changes in %
04/01/2022 20:57:10,01/01/2022,Saturday,16237.25,0,0
04/01/2022 21:01:22,02/01/2022,Sunday,16237.25,0,0
04/01/2022 21:05:50,03/01/2022,Monday,16474.4,237.16,1.46
05/01/2022 06:43:53,04/01/2022,Tuesday,16563.52,89.12,0.54
06/01/2022 08:39:32,05/01/2022,Wednesday,16691.8,128.29,0.77
07/01/2022 07:35:30,06/01/2022,Thursday,16632.83,-58.98,-0.35
08/01/2022 08:15:35,07/01/2022,Friday,16702.49,69.67,0.42
09/01/2022 10:51:18,08/01/2022,Saturday,16702.49,0,0
10/01/2022 08:48:49,09/01/2022,Sunday,16702.49,0,0
11/01/2022 08:20:43,10/01/2022,Monday,16809.2,106.7,0.64
13/01/2022 13:17:14,11/01/2022,Tuesday,16847.38,38.18,0.23
13/01/2022 13:18:11,12/01/2022,Wednesday,16873.56,26.18,0.16
14/01/2022 08:11:52,13/01/2022,Thursday,16927.34,53.78,0.32
15/01/2022 12:48:28,14/01/2022,Friday,17030.78,103.44,0.61
16/01/2022 08:14:07,15/01/2022,Saturday,17030.78,0,0
17/01/2022 08:01:26,16/01/2022,Sunday,17030.78,0,0
18/01/2022 08:11:20,17/01/2022,Monday,17086.13,55.35,0.32
19/01/2022 07:40:59,18/01/2022,Tuesday,16804.21,-281.92,-1.65
20/01/2022 16:41:09,19/01/2022,Wednesday,16660.13,-144.08,-0.86
21/01/2022 17:02:55,20/01/2022,Thursday,16582.22,-77.9,-0.47
22/01/2022 08:55:44,21/01/2022,Friday,16311.21,-271.01,-1.63
23/01/2022 14:28:09,22/01/2022,Saturday,16311.21,0,0
24/01/2022 08:01:23,23/01/2022,Sunday,16311.21,0,0
25/01/2022 07:45:32,24/01/2022,Monday,15655.31,-655.9,-4.02
26/01/2022 08:27:06,25/01/2022,Tuesday,16831.91,176.5,1.06
27/01/2022 08:14:19,26/01/2022,Wednesday,16831.91,0,0
28/01/2022 08:39:58,27/01/2022,Thursday,16644.88,-187.04,-1.11
29/01/2022 07:49:36,28/01/2022,Friday,16711.87,66.99,0.4
30/01/2022 08:14:02,29/01/2022,Saturday,16711.87,0,0
31/01/2022 08:03:02,30/01/2022,Sunday,16711.87,0,0
01/02/2022 08:11:52,31/01/2022,Monday,16932.01,220.14,1.32
02/02/2022 08:04:19,01/02/2022,Tuesday,17204.97,272.96,1.61
03/02/2022 08:04:31,02/02/2022,Wednesday,17456.58,251.61,1.46
04/02/2022 08:03:34,03/02/2022,Thursday,17333.1,-123.48,-0.71
05/02/2022 09:51:41,04/02/2022,Friday,17336.29,3.19,0.02
06/02/2022 20:57:02,05/02/2022,Saturday,17336.29,0,0
06/02/2022 20:58:41,06/02/2022,Sunday,17336.29,0,0
08/02/2022 08:07:59,07/02/2022,Monday,17089.84,-246.45,-1.42
10/02/2022 07:15:32,08/02/2022,Tuesday,16990.24,-99.6,-0.58
10/02/2022 07:18:13,09/02/2022,Wednesday,17193.85,203.61,1.2
11/02/2022 07:55:59,10/02/2022,Thursday,17280.68,86.83,0.5
13/02/2022 07:01:19,11/02/2022,Friday,16993.08,-287.6,-1.66
13/02/2022 07:02:46,12/02/2022,Saturday,16993.08,0,0
14/02/2022 18:45:58,13/02/2022,Sunday,16993.08,0,0
15/02/2022 08:02:04,14/02/2022,Monday,16365.17,-627.91,-3.7
16/02/2022 16:12:23,15/02/2022,Tuesday,17317.88,452.64,2.77
17/02/2022 08:10:42,16/02/2022,Wednesday,17786.06,-31.81,-0.18
18/02/2022 09:27:24,17/02/2022,Thursday,17715.16,-70.9,-0.4
19/02/2022 07:55:21,18/02/2022,Friday,17580.15,-135.01,-0.76
19/02/2022 17:07:39,19/02/2022,Saturday,17580.15,0,0
19/02/2022 17:09:37,20/02/2022,Sunday,17580.15,0,0
22/02/2022 08:00:25,21/02/2022,Monday,17352.22,-227.93,-1.3
23/02/2022 08:39:37,22/02/2022,Tuesday,17189.5,-162.72,-0.94
24/02/2022 07:55:28,23/02/2022,Wednesday,17249.21,59.71,0.35
25/02/2022 08:12:57,24/02/2022,Thursday,16322.63,-926.59,-5.37
26/02/2022 08:32:51,25/02/2022,Friday,17454.16,631.64,3.75
27/02/2022 16:43:09,26/02/2022,Saturday,17454.16,0,0
27/02/2022 16:44:02,27/02/2022,Sunday,17454.16,0,0
01/03/2022 13:32:06,28/02/2022,Monday,18165.9,193.84,1.08
01/03/2022 21:02:06,01/03/2022,Tuesday,18165.9,0,0
03/03/2022 19:16:34,02/03/2022,Wednesday,18056.37,-109.37,-0.6
04/03/2022 07:37:30,03/03/2022,Thursday,18012.17,-44.36,-0.25
05/03/2022 08:12:47,04/03/2022,Friday,17630.95,-381.22,-2.12
06/03/2022 18:39:34,05/03/2022,Saturday,17630.95,0,0
06/03/2022 18:39:59,06/03/2022,Sunday,17630.95,0,0
08/03/2022 17:01:45,07/03/2022,Monday,17196.3,-434.64,-2.47
09/03/2022 18:32:14,08/03/2022,Tuesday,17416.54,220.24,1.28
10/03/2022 12:38:14,09/03/2022,Wednesday,18791.35,374.77,2.04
11/03/2022 11:25:32,10/03/2022,Thursday,19059.96,268.61,1.43
12/03/2022 09:51:51,11/03/2022,Friday,19106.35,46.39,0.24
13/03/2022 14:11:08,12/03/2022,Saturday,19106.35,0,0
13/03/2022 14:11:38,13/03/2022,Sunday,19106.35,0,0
15/03/2022 19:07:24,14/03/2022,Monday,19208.06,101.71,0.53
16/03/2022 15:10:03,15/03/2022,Tuesday,19062.02,-146.04,-0.76
17/03/2022 07:54:50,16/03/2022,Wednesday,19399.12,337.1,1.77
18/03/2022 09:09:57,17/03/2022,Thursday,19730.65,331.53,1.71
19/03/2022 08:59:43,18/03/2022,Friday,19730.65,0,0
20/03/2022 09:10:57,19/03/2022,Saturday,19730.65,0,0
21/03/2022 14:17:10,20/03/2022,Sunday,19730.65,0,0
22/03/2022 14:53:09,21/03/2022,Monday,19609.7,-120.95,-0.61
23/03/2022 13:41:12,22/03/2022,Tuesday,19732.45,122.76,0.63
24/03/2022 13:39:25,23/03/2022,Wednesday,19697.37,-35.08,-0.18
25/03/2022 15:33:45,24/03/2022,Thursday,19849.25,151.88,0.77
26/03/2022 09:02:54,25/03/2022,Friday,19824.27,-24.98,-0.13
27/03/2022 09:21:21,26/03/2022,Saturday,19824.27,0,0
28/03/2022 09:53:11,27/03/2022,Sunday,19824.27,0,0
29/03/2022 15:57:52,28/03/2022,Monday,19849.09,24.82,0.13
30/03/2022 11:11:10,29/03/2022,Tuesday,20056.78,207.69,1.05
31/03/2022 08:13:49,30/03/2022,Wednesday,20257.85,201.06,1
01/04/2022 08:09:16,31/03/2022,Thursday,20274.06,16.21,0.08
02/04/2022 09:32:32,01/04/2022,Friday,20533.12,259.06,1.28
03/04/2022 08:30:02,02/04/2022,Saturday,20533.12,0,0
04/04/2022 16:56:11,03/04/2022,Sunday,20533.12,0,0
05/04/2022 09:15:54,04/04/2022,Monday,20860.78,327.65,1.6
06/04/2022 09:38:45,05/04/2022,Tuesday,20888.28,27.5,0.13
07/04/2022 18:47:09,06/04/2022,Wednesday,20852.52,-35.76,-0.17
08/04/2022 08:05:32,07/04/2022,Thursday,20714.81,-137.71,-0.66
09/04/2022 08:48:19,08/04/2022,Friday,21009.22,294.41,1.42
09/04/2022 08:49:14,09/04/2022,Saturday,21009.22,0,0
09/04/2022 08:49:55,10/04/2022,Sunday,21009.22,0,0
12/04/2022 16:19:43,11/04/2022,Monday,21042.88,33.66,0.16
14/04/2022 11:24:01,12/04/2022,Tuesday,20771.22,-271.66,-1.29
14/04/2022 11:24:57,13/04/2022,Wednesday,20781.6,10.38,0.05
