Scrip Name,Quantity,Buy_average,Buy_value,Sell_average,Sell_value,Realized P&L,Transaction Date
Tata Teleservices (Maharashtra),100,36.41,3641,37.1,3710,69,01/10/2021
NMDC,100,143.425,14342.5,145.8,14580,237.5,04/10/2021
General Insurance ,30,141.69,4250.7,146,4380,129.3,04/10/2021
Granules India,40,329.99,13199.6,333,13320,120.4,04/10/2021
Vedanta,25,287.98,7199.5,293,7325,125.5,04/10/2021
Hindustan Copper,100,117.29,11729,125.6,12560,831,04/10/2021
Exide Inds,75,180.3,13522.5,181.2,13590,67.5,05/10/2021
Subex,50,55.12,2756,55.7,2785,29,05/10/2021
General Insurance ,50,142.78,7139,146,7300,161,05/10/2021
Hindustan Zinc,10,309.44,3094.4,315,3150,55.6,05/10/2021
Sail,81,119.17,9652.77,121.5,9841.5,188.73,06/10/2021
Datamatics Global Services,3,307.65,922.95,330,990,67.05,06/10/2021
Tata Coffee,10,204.15,2041.5,210,2100,58.5,06/10/2021
Coal India,5,163.4,817,191.65,958.25,141.25,07/10/2021
Tata Motors DVR,9,182.98,1646.82,194.65,1751.85,105.03,07/10/2021
Indian Hotels Company,5,166.86,834.3,196.95,984.75,150.45,07/10/2021
Motherson Sumi Systems,50,224.94,11247,228,11400,153,07/10/2021
Central Depository Services (India),5,1298.18,6490.9,1363,6815,324.1,11/10/2021
KNR Constructions,80,294.93,23594.4,299,23920,325.6,11/10/2021
NMDC,10,144.44,1444.4,152,1520,75.6,11/10/2021
Tata Steel BSL,50,87.21,4360.5,87.8,4390,29.5,13/10/2021
Sail,100,118.93,11893,119.6,11960,67,13/10/2021
NTPC,38,144.06,5474.28,146.5,5567,92.72,13/10/2021
KNR Constructions,35,309.99,10849.65,312.2,10927,77.35,13/10/2021
Tata Motors DVR,5,201.28,1006.4,236,1180,173.6,13/10/2021
Sail ,350,118.69,41541.5,121,42350,808.5,13/10/2021
Ambuja Cement,85,409.74,34827.9,411.5,34977.5,149.6,14/10/2021
Adani Power ,140,110.52,15472.8,112,15680,207.2,14/10/2021
Tata Steel BSL,50,86.03,4301.5,90.5,4525,223.5,14/10/2021
Zomato ,100,135,13500,137.2,13720,220,18/10/2021
Tata Power,10,218.36,2183.6,253.65,2536.5,352.9,18/10/2021
Zomato Limited,100,137.24,13724,144.5,14450,726,18/10/2021
JK Tyre & Industries,20,152.56,3051.2,159.5,3190,138.8,18/10/2021
General Insurance ,101,147.39,14886.39,149.2,15069.2,182.81,19/10/2021
Motherson Sumi Systems,50,240.82,12041,243.5,12175,134,19/10/2021
NTPC,10,144.7,1447,149.5,1495,48,20/10/2021
Tata Motors,1,292.35,292.35,495.25,495.25,202.9,21/10/2021
DLF,1,337.51,337.51,410,410,72.49,21/10/2021
Tata Motors,1,292.47,292.47,490.6,490.6,198.13,21/10/2021
Allcargo Logistics,10,269.93,2699.3,271.75,2717.5,18.2,22/10/2021
Zomato Limited,70,139.97,9797.9,141.2,9884,86.1,22/10/2021
VRL Logistics,2,359.37,718.74,381,762,43.26,26/10/2021
KPIT Technologies,1,272.77,272.77,322,322,49.23,26/10/2021
Hindustan Petroleum Corporation,1,267.29,267.29,332.75,332.75,65.46,26/10/2021
Trident,3,24,72,40,120,48,26/10/2021
Cipla,50,918.05,45902.5,922.7,46135,232.5,27/10/2021
Gabriel India,2,143.79,287.58,163.5,327,39.42,27/10/2021
Praj,25,330.96,8274,334,8350,76,27/10/2021
VRL Logistics,1,334,334,384,384,50,28/10/2021
Ambuja Cement,15,402.98,6044.7,405.5,6082.5,37.8,28/10/2021
SAIL,95,116.93,11108.35,124.4,11818,709.65,01/11/2021
Tata Motors DVR,1,182,182,252.45,252.45,70.45,01/11/2021
General Insurance ,121,137.18,16598.78,138,16698,99.22,01/11/2021
Indian Oil Corporation,85,131.53,11180.05,132.95,11300.75,120.7,02/11/2021
Indian Hotels Company,48,204.81,9830.88,207.5,9960,129.12,02/11/2021
Powergrid,30,185,5550,189,5670,120,03/11/2021
Motherson Sumi,10,235.29,2352.9,238.35,2383.5,30.6,04/11/2021
NMDC,20,142.72,2854.4,145.65,2913,58.6,08/11/2021
Zomato ,201,135.43,27221.43,137,27537,315.57,08/11/2021
Welspun Corp,150,131.36,19704,132.55,19882.5,178.5,08/11/2021
Shree Renuka Sugar,50,27.09,1354.5,28.05,1402.5,48,09/11/2021
Power Finance Corp,50,138.99,6949.5,140.5,7025,75.5,09/11/2021
Powergrid,110,185.11,20362.1,186.5,20515,152.9,09/11/2021
NCC,30,79.38,2381.4,81.1,2433,51.6,09/11/2021
NMDC,60,140.63,8437.8,142.4,8544,106.2,09/11/2021
Sail ,15,115.85,1737.75,126.5,1897.5,159.75,10/11/2021
EIH Hotels,50,141,7050,143.5,7175,125,11/11/2021
Zomato Limited,100,133.35,13335,135.5,13550,215,11/11/2021
NCC,100,81.84,8184,82.5,8250,66,12/11/2021
Sail ,53,123.84,6563.52,124.5,6598.5,34.98,12/11/2021
General Insurance ,170,144.21,24515.7,147,24990,474.3,15/11/2021
Motherson Sumi Systems,70,240.64,16844.8,245,17150,305.2,15/11/2021
NCC,100,79.24,7924,80.5,8050,126,16/11/2021
The Indian Hotels ,52,219.43,11410.36,224,11648,237.64,16/11/2021
Philips Carbon Black,100,232.99,23299,234.5,23450,151,16/11/2021
Powergrid,150,187.72,28158,191,28650,492,16/11/2021
KNR Constructions,32,285.22,9127.04,289,9248,120.96,16/11/2021
KNR Constructions,18,285.22,5133.96,298.45,5372.1,238.14,23/11/2021
Shipping Corp,1,135.5,135.5,151.7,151.7,16.2,06/12/2021
Adani Power ,100,99.88,9988,100.05,10005,17,06/12/2021
Indiabulls Real Est.,1,153.7,153.7,170.25,170.25,16.55,06/12/2021
Deepak Fertilizers,40,385.26,15410.4,381,15240,-170.4,10/12/2021
Tata Steel ,12,1172.9,14074.8,1185,14220,145.2,10/12/2021
Deepak Fertilizers,20,376,7520,380,7600,80,14/12/2021
Orient Cement ,20,167.58,3351.6,169,3380,28.4,14/12/2021
NCC,100,68.78,6878,69.8,6980,102,15/12/2021
SAIL,102,116.53,11886.06,116.5,11883,-3.06,15/12/2021
Gabriel India,20,137.5,2750,138.5,2770,20,16/12/2021
Ashok Leyland,40,125.16,5006.4,126.2,5048,41.6,23/12/2021
Zomato,106,134.47,14253.82,134.7,14278.2,24.38,30/12/2021
Sail ,100,106.25,10625,107.2,10720,95,30/12/2021
Quick Heal Technologies ,73,254.34,18566.82,255,18615,48.18,31/12/2021
Sail ,150,105.87,15880.5,107,16050,169.5,31/12/2021
Coal India,100,154.78,15478,156.3,15630,152,04/01/2022
GAIL India,12,134.39,1612.68,135,1620,7.32,05/01/2022
Coal India,50,154.6,7730,155,7750,20,06/01/2022
Bank Of Baroda,100,90.61,9061,91,9100,39,10/01/2022
M & M Financial Services,100,155.99,15599,156.3,15630,31,11/01/2022
Coal India,100,164.48,16448,165,16500,52,13/01/2022
Sail ,100,104.9,10490,106.2,10620,130,13/01/2022
NCC,165,77.22,12741.3,78,12870,128.7,14/01/2022
Indian Hotels Company,80,208.26,16660.8,208.5,16680,19.2,14/01/2022
Indian Oil Corporation,150,124.19,18628.5,125,18750,121.5,18/01/2022
NTPC,200,136.96,27392,141.5,28300,908,28/01/2022
NTPC,100,138.94,13894,143.5,14350,456,28/01/2022
Bajaj Holdings and Investments,1,5106.32,5106.32,5230,5230,123.68,01/02/2022
NTPC,70,139.46,9762.2,142.5,9975,212.8,02/02/2022
Power Finance Corp,100,119.04,11904,124,12400,496,02/02/2022
Power Finance Corp,250,118.98,29745,122,30500,755,10/02/2022
Indian Oil Corporation,158,119.98,18956.84,121.5,19197,240.16,11/02/2022
Indian Oil Corporation,105,116.17,12197.85,120.35,12636.75,438.9,16/02/2022
Indian Oil Corporation,100,120.14,12014,122,12200,186,16/02/2022
Indian Oil Corporation,43,116.24,4998.32,119,5117,118.68,10/03/2022
Indian Oil Corporation,50,115.65,5782.5,121,6050,267.5,14/03/2022
Orient  Cement,50,147.09,7354.5,149.5,7475,120.5,17/03/2022
Tata Power,5,222.46,1112.3,238.25,1191.25,78.95,24/03/2022
Sail ,50,95.08,4754,104.7,5235,481,25/03/2022
NTPC,4,127.75,511,135,540,29,28/03/2022
Indian Hotels Company,1,192.58,192.58,244,244,51.42,30/03/2022
Indian Oil Corporation,100,118.65,11865,120.75,12075,210,01/04/2022
Power Finance Corp,132,114.01,15049.32,116,15312,262.68,02/04/2022
Sail ,500,104.14,52070,105.25,52625,555,04/04/2022
NCC,370,69.82,25833.4,70,25900,66.6,04/04/2022
Power Finance Corp,200,119.58,23916,120.2,24040,124,05/04/2022
Sail ,500,109.67,54835,111.7,55850,1015,06/04/2022
Welspun India,100,96.01,9601,97.5,9750,149,12/04/2022
Welspun India,100,94,9400,96,9600,200,13/04/2022
Federal Bank,100,98,9800,99.5,9950,150,13/04/2022
Welspun India,90,96,8640,97.2,8748,108,13/04/2022
NCC,300,71.08,21324,72,21600,276,18/04/2022
Sail ,101,105.54,10659.54,107,10807,147.46,18/04/2022
