Timestamp,Date,Day,Net Asset Value,NAV Changes in ₹,NAV Changes in %
04/01/2022 19:13:05,01/01/2022,Saturday,235.9061,0,0
04/01/2022 19:14:37,02/01/2022,Sunday,235.9061,0,0
04/01/2022 19:15:52,03/01/2022,Monday,239.3461,3.44,1.46
05/01/2022 12:57:28,04/01/2022,Tuesday,239.5591,0.21,0.09
06/01/2022 13:03:45,05/01/2022,Wednesday,241.6364,2.08,0.87
07/01/2022 07:37:31,06/01/2022,Thursday,240.9074,-0.73,-0.3
08/01/2022 08:38:55,07/01/2022,Friday,241.8924,0.99,0.24
09/01/2022 10:52:27,08/01/2022,Saturday,241.8924,0,0
11/01/2022 00:18:57,09/01/2022,Sunday,241.8924,0,0
11/01/2022 10:26:13,10/01/2022,Monday,245.27,3.38,1.4
12/01/2022 12:48:25,11/01/2022,Tuesday,245.7173,0.45,0.18
13/01/2022 16:01:49,12/01/2022,Wednesday,247.271,1.55,0.63
14/01/2022 08:30:01,13/01/2022,Thursday,249.166,1.9,0.77
15/01/2022 12:52:37,14/01/2022,Friday,251.3135,2.15,0.86
16/01/2022 08:19:34,15/01/2022,Saturday,251.3135,0,0
17/01/2022 08:38:06,16/01/2022,Sunday,251.3135,0,0
18/01/2022 08:33:50,17/01/2022,Monday,251.8771,0.56,0.22
19/01/2022 07:33:45,18/01/2022,Tuesday,246.9406,-4.94,-1.96
20/01/2022 16:44:48,19/01/2022,Wednesday,245.9922,-0.95,-0.38
21/01/2022 17:18:53,20/01/2022,Thursday,245.4532,-0.54,-0.22
22/01/2022 09:00:15,21/01/2022,Friday,241.8434,-3.61,-1.47
23/01/2022 14:31:44,22/01/2022,Saturday,241.8434,0,0
24/01/2022 08:42:06,23/01/2022,Sunday,241.8434,0,0
25/01/2022 08:23:35,24/01/2022,Monday,231.7761,-10.07,-4.16
26/01/2022 08:38:28,25/01/2022,Tuesday,236.303,4.53,1.95
27/01/2022 08:23:22,26/01/2022,Wednesday,236.303,0,0
28/01/2022 08:42:17,27/01/2022,Thursday,235.0874,-1.22,-0.51
29/01/2022 08:00:39,28/01/2022,Friday,236.0013,0.91,0.39
30/01/2022 08:15:05,29/01/2022,Saturday,236.0013,0,0
31/01/2022 08:05:53,30/01/2022,Sunday,236.0013,0,0
01/02/2022 07:32:34,31/01/2022,Monday,238.4884,2.49,1.05
02/02/2022 08:07:40,01/02/2022,Tuesday,242.9322,4.44,1.86
03/02/2022 08:08:28,02/02/2022,Wednesday,246.2741,3.34,1.38
04/02/2022 08:05:14,03/02/2022,Thursday,245.6898,-0.58,-0.24
05/02/2022 17:57:32,04/02/2022,Friday,245.7243,0.03,0.01
