Timestamp,Date,Day,Open,High,Low,Previous Close,LTP,Change,% Change,Volume
03/10/2022 21:51:20,01/10/2022,Saturday,72.65,72.65,72.65,72.65,72.65,0,0,0
03/10/2022 21:51:49,02/10/2022,Sunday,72.65,72.65,72.65,72.65,72.65,0,0,0
03/10/2022 21:53:14,03/10/2022,Monday,74.9,74.9,72.6,72.65,73.05,0.4,0.55,16528638
04/10/2022 21:16:18,04/10/2022,Tuesday,74.8,74.8,72.1,72.95,72.3,-0.65,-0.89,8823252
05/10/2022 18:47:43,05/10/2022,Wednesday,72.3,72.3,72.3,72.3,72.3,0,0,0
06/10/2022 18:22:17,06/10/2022,Thursday,73.65,78.35,73.1,72.3,76.15,3.85,5.33,21901764
07/10/2022 16:40:16,07/10/2022,Friday,76.85,76.9,75.35,76.15,76.1,-0.05,-0.07,4522021
07/10/2022 16:40:55,08/10/2022,Saturday,76.1,76.1,76.1,76.1,76.1,0,0,0
07/10/2022 16:41:16,09/10/2022,Sunday,76.1,76.1,76.1,76.1,76.1,0,0,0
10/10/2022 20:07:18,10/10/2022,Monday,75.75,76.25,74.4,76.7,75.7,-1,-1.3,4547855
11/10/2022 16:02:21,11/10/2022,Tuesday,76,76.35,72.9,75.7,73.15,-2.55,-3.37,7023884
12/10/2022 19:41:39,12/10/2022,Wednesday,73.4,73.8,72.5,73.15,73.55,0.4,0.55,4669263
13/10/2022 16:50:11,13/10/2022,Thursday,73.5,74,71.15,73.55,71.45,-2.1,-2.86,3054766
14/10/2022 15:56:14,14/10/2022,Friday,72.7,72.7,69.2,71.35,69.4,-1.95,-2.73,9168346
14/10/2022 15:56:53,15/10/2022,Saturday,69.4,69.4,69.4,69.4,69.4,0,0,0
14/10/2022 15:57:16,16/10/2022,Sunday,69.4,69.4,69.4,69.4,69.4,0,0,0
17/10/2022 17:26:16,17/10/2022,Monday,69.45,69.65,68.6,69.4,69.2,-0.2,-0.29,4650175
18/10/2022 17:40:31,18/10/2022,Tuesday,65.5,65.85,63.3,69.2,63.9,-5.3,-7.66,105159669
19/10/2022 18:51:14,19/10/2022,Wednesday,64.5,64.8,63.25,63.9,63.5,-0.4,-0.63,20643720
20/10/2022 16:50:27,20/10/2022,Thursday,63.5,64.5,61.95,63.5,63.5,0,0,16207220
21/10/2022 17:57:19,21/10/2022,Friday,63.8,63.85,61.9,63.5,62.1,-1.4,-2.2,17745584
21/10/2022 17:57:57,22/10/2022,Saturday,62.1,62.1,62.1,62.1,62.1,0,0,0
21/10/2022 17:58:18,23/10/2022,Sunday,62.1,62.1,62.1,62.1,62.1,0,0,0
24/10/2022 19:54:27,24/10/2022,Monday,62.2,63.2,62.2,62.1,62.8,0.7,1.13,2362128
25/10/2022 15:40:43,25/10/2022,Tuesday,63,63.05,61.8,62.8,62.1,-0.7,-1.11,26129242
26/10/2022 19:26:25,26/10/2022,Wednesday,62.1,62.1,62.1,62.1,62.1,0,0,0
27/10/2022 17:34:10,27/10/2022,Thursday,62.45,64,62.25,62.1,63.75,1.65,2.66,17732344
28/10/2022 16:28:37,28/10/2022,Friday,64,64.4,63.25,63.75,64.15,0.4,0.63,9996015
28/10/2022 16:28:57,29/10/2022,Saturday,64.15,64.15,64.15,64.15,64.15,0,0,0
28/10/2022 16:29:23,30/10/2022,Sunday,64.15,64.15,64.15,64.15,64.15,0,0,0
31/10/2022 17:00:17,31/10/2022,Monday,65.5,65.5,63.8,64.15,64.5,0.35,0.55,12983527
01/11/2022 17:42:16,01/11/2022,Tuesday,64.85,66.7,64.5,64.5,65.15,0.65,1.01,12470523
02/11/2022 16:48:39,02/11/2022,Wednesday,64.65,65.6,64.4,65.15,64.65,-0.5,-0.77,5024386
03/11/2022 16:17:39,03/11/2022,Thursday,64.35,64.95,64.1,64.65,64.55,-0.1,-0.15,5907798
04/11/2022 17:55:24,04/11/2022,Friday,64.45,65.25,64.45,64.55,65.05,0.5,0.77,10365748
04/11/2022 17:56:23,05/11/2022,Saturday,65.05,65.05,65.05,65.05,65.05,0,0,0
04/11/2022 17:56:58,06/11/2022,Sunday,65.05,65.05,65.05,65.05,65.05,0,0,0
08/11/2022 07:01:28,07/11/2022,Monday,65.7,67.6,65.4,65.05,66.55,1.5,2.31,17066971
09/11/2022 17:01:40,08/11/2022,Tuesday,66.55,66.55,66.55,66.55,66.55,0,0,0
11/11/2022 12:41:49,09/11/2022,Wednesday,66.95,69.05,66.85,66.55,68.3,1.75,2.63,14802160
11/11/2022 12:44:27,10/11/2022,Thursday,68.5,71.75,67.7,68.3,70.45,2.15,3.15,33577029
11/11/2022 18:26:29,11/11/2022,Friday,74.25,74.55,69.4,70.45,71.05,0.6,0.85,42473474
11/11/2022 18:27:13,12/11/2022,Saturday,71.05,71.05,71.05,71.05,71.05,0,0,0
11/11/2022 18:27:35,13/11/2022,Sunday,71.05,71.05,71.05,71.05,71.05,0,0,0
