Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
27-Jan-23,EQ,438,453.4,435.15,419.05,445.25,445.6,444.86,520,366.2,63360467,"28,18,65,09,532.55",621705
25-Jan-23,EQ,423.75,427.25,417.7,422.15,418.6,419.05,420.93,520,366.2,22975581,"9,67,10,23,651.60",260064
24-Jan-23,EQ,410,424,410,408.4,422,422.15,419.81,520,366.2,30197475,"12,67,71,58,297.25",281507
23-Jan-23,EQ,407,410.95,405,403.15,408,408.4,409.03,520,366.2,13113183,"5,36,36,52,738.90",144746
20-Jan-23,EQ,404,412.5,401.2,400.75,402.95,403.15,406.24,528.5,366.2,23906114,"9,71,15,59,781.25",227306
19-Jan-23,EQ,406.5,407.8,400.1,408.4,400.75,400.75,403.93,528.5,366.2,13126520,"5,30,22,07,443.40",209594
18-Jan-23,EQ,415.9,415.95,407.45,415.3,408.8,408.4,409.94,528.5,366.2,13310316,"5,45,64,89,501.00",201954
17-Jan-23,EQ,413,419.45,412.5,413,414.7,415.3,416.64,528.5,366.2,12337969,"5,14,04,69,409.20",148089
16-Jan-23,EQ,413.5,414.9,407.6,411.5,412.9,413,411.4,528.5,366.2,11462140,"4,71,55,66,789.30",144517
13-Jan-23,EQ,413,416.35,408,412.25,411.7,411.5,411.59,528.5,366.2,10449630,"4,30,09,74,443.00",129743
12-Jan-23,EQ,420.3,420.5,410.05,418.2,412.2,412.25,414.69,528.5,366.2,12479034,"5,17,49,61,009.80",143171
11-Jan-23,EQ,415.75,420,413.55,412.9,417.2,418.2,417.61,528.5,366.2,22224361,"9,28,10,97,362.10",220634
10-Jan-23,EQ,400,417.75,400,389.45,412.5,412.9,411.86,528.5,366.2,54021379,"22,24,94,91,445.35",467152
09-Jan-23,EQ,386.35,392.7,385,382,388.95,389.45,389.87,528.5,366.2,14693099,"5,72,84,45,417.50",167573
06-Jan-23,EQ,386.1,388.4,381,386.9,382.05,382,384.04,528.5,366.2,8715469,"3,34,71,21,640.85",147467
