scrip_name,quantity,buy_average,buy_value,sell_average,sell_value,realized_pl,transaction_date
Tata Teleservices (Maharashtra),100,36.41,3641.0,37.1,3710.0,69.0,01/10/2021
NMDC,100,143.425,14342.5,145.8,14580.0,237.5,04/10/2021
General Insurance ,30,141.69,4250.7,146.0,4380.0,129.3,04/10/2021
Granules India,40,329.99,13199.6,333.0,13320.0,120.4,04/10/2021
Vedanta,25,287.98,7199.5,293.0,7325.0,125.5,04/10/2021
Hindustan Copper,100,117.29,11729.0,125.6,12560.0,831.0,04/10/2021
Exide Industries,75,180.3,13522.5,181.2,13590.0,67.5,05/10/2021
Subex,50,55.12,2756.0,55.7,2785.0,29.0,05/10/2021
General Insurance ,50,142.78,7139.0,146.0,7300.0,161.0,05/10/2021
Hindustan Zinc,10,309.44,3094.4,315.0,3150.0,55.6,05/10/2021
Steel Authority of India,81,119.17,9652.77,121.5,9841.5,188.73,06/10/2021
Datamatics Global Services,3,307.65,922.95,330.0,990.0,67.05,06/10/2021
Tata Coffee,10,204.15,2041.5,210.0,2100.0,58.5,06/10/2021
Coal India,5,163.4,817.0,191.65,958.25,141.25,07/10/2021
Tata Motors DVR,9,182.98,1646.82,194.65,1751.85,105.03,07/10/2021
The Indian Hotels Company,5,166.86,834.3,196.95,984.75,150.45,07/10/2021
Samvardhana Motherson International,50,224.94,11247.0,228.0,11400.0,153.0,07/10/2021
Central Depository Services (India),5,1298.18,6490.9,1363.0,6815.0,324.1,11/10/2021
KNR Constructions,80,294.93,23594.4,299.0,23920.0,325.6,11/10/2021
NMDC,10,144.44,1444.4,152.0,1520.0,75.6,11/10/2021
Tata Steel BSL,50,87.21,4360.5,87.8,4390.0,29.5,13/10/2021
Steel Authority of India,100,118.93,11893.0,119.6,11960.0,67.0,13/10/2021
NTPC,38,144.06,5474.28,146.5,5567.0,92.72,13/10/2021
KNR Constructions,35,309.99,10849.65,312.2,10927.0,77.35,13/10/2021
Tata Motors DVR,5,201.28,1006.4,236.0,1180.0,173.6,13/10/2021
